CANTON,D1_norm,D2_norm,D3_norm,IBTC,tipologia_num,tipologia,pob_total,pob_menores5,pob_mayores65,pob_0_3,pob_discapacidad,jef_fem,jef_total,pct_menores5,pct_mayores65,pct_discap,pct_jef_fem,pct_nbi
101,0.18560843484726686,0.08476065241163341,0.09805420338084217,0.12775847557972855,1,Cobertura Relativa,596101,37739,59460,28869,36151,14644,281823,0.06330974113447217,0.09974819703372415,0.06064576305022135,0.05196169226784187,0.19752525159327028
102,0.5108064417101189,0.14379156688134234,0.25410636142309284,0.3126604757212031,2,En Transición,12182,840,1829,649,999,307,5532,0.06895419471351173,0.15013955015596783,0.08200623871285503,0.05549530007230658,0.33089804629781644
103,0.5891152191237474,0.2792295493630252,0.3649169708333059,0.4203213015613702,3,Vulnerable,43188,3533,5302,2781,4425,1123,19421,0.08180513105492267,0.1227655830323238,0.10245901639344263,0.05782400494310283,0.4256043345373715
104,0.6420806646595065,0.16671492832441315,0.7119292251791354,0.465904082229395,4,Crítico,14776,1054,2380,815,1916,274,6729,0.07133188955062263,0.16107200866269628,0.1296697347049269,0.04071927478079952,0.7221846237141311
105,0.5756959795763664,0.17662424900981719,0.24684932740715712,0.3502979569159049,2,En Transición,26782,1944,3354,1499,3111,681,12201,0.07258606526771712,0.12523336569337615,0.1161601075349115,0.05581509712318662,0.3246956911358375
106,0.7736831818558485,0.2513781264199178,0.6198109061754752,0.5339867045454016,4,Crítico,9693,784,1252,602,1199,323,4604,0.08088311152378004,0.1291653770762406,0.12369751366965852,0.07015638575152042,0.6434540389972145
107,0.7171428781386885,0.12377066838252201,0.23347973535748606,0.38306136567998145,3,Vulnerable,3738,264,634,193,400,99,1656,0.07062600321027288,0.16960941680042804,0.10700909577314072,0.059782608695652176,0.31326912787586947
108,0.5704287347460375,0.23206540008583762,0.3042206166110859,0.3818417772549672,3,Vulnerable,20753,1623,2617,1256,2212,541,9914,0.07820556064183491,0.12610225027706837,0.10658699946995615,0.054569295945128105,0.3737290994073146
109,0.7656395260155943,0.27518028955920587,0.47972558862208753,0.5122730439543376,4,Crítico,24992,2055,3302,1601,2981,756,11016,0.0822263124199744,0.1321222791293214,0.1192781690140845,0.06862745098039216,0.5237275928297055
110,0.7540896417474076,0.1747345819455639,0.5268433778343445,0.4768983650440575,4,Crítico,3422,248,514,191,538,73,1575,0.07247223845704266,0.15020455873758037,0.15721800116890708,0.04634920634920635,0.5639976621858562
111,0.47288334931397036,0.2678432052415307,0.2502727092945146,0.34634516368110335,2,En Transición,12197,982,1488,774,1212,245,5494,0.08051160121341314,0.12199721242928589,0.09936869722062802,0.044594102657444484,0.32762154628187257
112,0.6838123643361288,0.03455288367077473,0.1666172755995606,0.3206695543226735,2,En Transición,2776,147,588,123,445,27,1280,0.052953890489913544,0.21181556195965417,0.16030259365994237,0.02109375,0.2561239193083574
113,0.41167932239061295,0.0678425276176534,0.17967986691941204,0.22774471338718896,1,Cobertura Relativa,4613,287,684,217,471,82,2167,0.0622154779969651,0.14827660958161717,0.10210275308909603,0.03784033225657591,0.2672880988510731
114,0.6904131712785923,0.14703482656968989,0.2402066476189437,0.3830205286631016,3,Vulnerable,3586,242,496,192,491,101,1714,0.06748466257668712,0.13831567205800335,0.1369213608477412,0.058926487747957994,0.31901840490797545
115,0.36078844440210767,0.505784979813317,0.3249048787146832,0.41161034542910657,3,Vulnerable,22810,2368,1100,1893,1590,689,11293,0.10381411661551951,0.048224462954844366,0.06970626918018413,0.061011245904542634,0.3914072775098641
201,0.3873505783953857,0.23802906599220816,0.5840150816310806,0.3669548740812537,2,En Transición,98130,7494,10326,5987,8491,2417,46659,0.07636808315499848,0.10522775909507796,0.08652807500254764,0.05180136736749609,0.6128604911851625
202,0.4872501461609278,0.25640045111496934,0.7062745841447194,0.43871515573930275,3,Vulnerable,19802,1609,2613,1238,2436,277,9844,0.08125441874558126,0.13195636804363195,0.12301787698212302,0.028138967899227957,0.7173517826482173
203,0.43285202451218,0.07077429757162698,0.5516778364772829,0.31178609612897934,2,En Transición,15524,930,2309,734,1958,222,7438,0.05990724040195826,0.14873743880443185,0.12612728678175728,0.029846732992739985,0.5852228807008503
204,0.347449818882783,0.23216502537656183,0.377308402767075,0.3073076182571529,2,En Transición,14654,1124,1687,887,1178,317,7197,0.07670260679677904,0.11512215094854647,0.08038760747918657,0.044046130332082815,0.4361948955916473
205,0.40883596400606065,0.08822686998337644,0.539977658036532,0.30682066520308127,2,En Transición,28349,1755,4140,1381,3095,479,13655,0.061906945571272354,0.14603689724505273,0.10917492680517832,0.035078725741486634,0.5752231119263466
206,0.26323616318602455,0.2324111705026268,0.33879717481744137,0.2660183684389488,1,Cobertura Relativa,15607,1222,1582,945,1164,309,7570,0.07829819952585379,0.10136477221759467,0.0745819183699622,0.040819022457067373,0.40328057922726984
207,0.389907079164711,0.3148055353177964,0.5081961448111874,0.3835242747552405,3,Vulnerable,7012,583,615,472,643,183,3510,0.08314318311466058,0.08770678836280661,0.0916999429549344,0.05213675213675214,0.548060467769538
301,0.39017861391240743,0.151506460179546,0.17553493107474608,0.2517810158517306,1,Cobertura Relativa,74515,5209,9148,4017,7283,1472,34120,0.06990538817687714,0.12276722807488426,0.09773871032677985,0.04314185228604924,0.2637455545863249
302,0.6335647720793847,0.16230779230810694,0.37369957444343055,0.3930889406436827,3,Vulnerable,18852,1330,2992,1033,2175,407,8286,0.07054954381497984,0.1587099511988118,0.1153723742838956,0.04911899589669322,0.4331105453002334
